"country","infant_mortality_per_1000","region"
"Afghanistan",101.3,"South Asia"
"Somalia",83.6,"Africa"
"Central African Republic",80.5,"Africa"
"Equatorial Guinea",77.4,"Africa"
"Sierra Leone",71.2,"Africa"
"Niger",64.3,"Africa"
"Chad",62.5,"Africa"
"South Sudan",60.1,"Africa"
"Mozambique",58.2,"Africa"
"Mali",57.4,"Africa"
"Congo, Democratic Republic of the",57.4,"Africa"
"Liberia",55.7,"Africa"
"Angola",55.6,"Africa"
"Comoros",54.9,"Africa"
"Nigeria",53.7,"Africa"
"Benin",52.9,"Africa"
"Cote d'Ivoire",52.5,"Africa"
"Pakistan",51.5,"South Asia"
"Mauritania",48.9,"Africa"
"Burkina Faso",47,"Africa"
"Guinea",47,"Africa"
"Guinea-Bissau",46.4,"Africa"
"Cameroon",46.1,"Africa"
"Lesotho",45.7,"Africa"
"Djibouti",45.2,"Africa"
"Yemen",44.6,"Middle East"
"Sao Tome and Principe",42.6,"Africa"
"Sudan",40.6,"Africa"
"Eritrea",39.8,"Africa"
"Togo",38.4,"Africa"
"Madagascar",37.5,"Africa"
"Haiti",36.8,"Central America and the Caribbean"
"Eswatini",36.7,"Africa"
"Turkmenistan",35.9,"Central Asia"
"Gambia, The",35.7,"Africa"
"Burundi",35.7,"Africa"
"Zambia",35.6,"Africa"
"Laos",35.4,"East and Southeast Asia"
"Zimbabwe",33.4,"Africa"
"Ethiopia",32.6,"Africa"
"Timor-Leste",32.2,"East and Southeast Asia"
"Burma",32.1,"East and Southeast Asia"
"Papua New Guinea",32,"East and Southeast Asia"
"Malawi",31.9,"Africa"
"Kiribati",31.5,"Australia and Oceania"
"Ghana",31.2,"Africa"
"Senegal",31.1,"Africa"
"Congo, Republic of the",30.6,"Africa"
"India",30.4,"South Asia"
"Suriname",29.6,"South America"
"Tanzania",29.6,"Africa"
"Bangladesh",28.8,"South Asia"
"Uganda",28.5,"Africa"
"Cambodia",27.9,"East and Southeast Asia"
"Namibia",27.9,"Africa"
"Tuvalu",27.8,"Australia and Oceania"
"Gabon",26.9,"Africa"
"Kenya",26.1,"Africa"
"Guatemala",25,"Central America and the Caribbean"
"Rwanda",24.9,"Africa"
"Kyrgyzstan",24.5,"Central Asia"
"Maldives",24.4,"South Asia"
"Bhutan",24.3,"South Asia"
"Nepal",24,"South Asia"
"Botswana",23.7,"Africa"
"Kosovo",22.9,"Europe"
"Cabo Verde",22.4,"Africa"
"Bolivia",22.3,"South America"
"Philippines",22,"East and Southeast Asia"
"Paraguay",22,"South America"
"South Africa",21.9,"Africa"
"Georgia",21.7,"Central Asia"
"Tajikistan",21.7,"Central Asia"
"Dominican Republic",21.7,"Central America and the Caribbean"
"Guyana",21.1,"South America"
"Micronesia, Federated States of",20.9,"Australia and Oceania"
"Marshall Islands",20.6,"Australia and Oceania"
"Mongolia",19.4,"East and Southeast Asia"
"Solomon Islands",19.1,"Australia and Oceania"
"Indonesia",18.9,"East and Southeast Asia"
"Iraq",18.7,"Middle East"
"Algeria",18.7,"Africa"
"Turkey (Turkiye)",18.4,"Middle East"
"Morocco",18.3,"Africa"
"Uzbekistan",18.2,"Central Asia"
"Saint Helena, Ascension, and Tristan da Cunha",18.1,"Africa"
"Samoa",17.3,"Australia and Oceania"
"Egypt",16.8,"Africa"
"Korea, North",15.4,"East and Southeast Asia"
"Honduras",15.4,"Central America and the Caribbean"
"Gaza Strip",15.1,"Middle East"
"Syria",15.1,"Middle East"
"West Bank",15.1,"Middle East"
"Trinidad and Tobago",15.1,"Central America and the Caribbean"
"Cook Islands",15.1,"Australia and Oceania"
"Nicaragua",14.4,"Central America and the Caribbean"
"Iran",14.3,"Middle East"
"Panama",14.2,"Central America and the Caribbean"
"Vietnam",14.1,"East and Southeast Asia"
"Oman",13.9,"Middle East"
"Venezuela",13.9,"South America"
"Moldova",13.8,"Europe"
"Vanuatu",13.7,"Australia and Oceania"
"Antigua and Barbuda",13.6,"Central America and the Caribbean"
"British Virgin Islands",13.4,"Central America and the Caribbean"
"Jordan",13.2,"Middle East"
"Brazil",12.9,"South America"
"Saint Vincent and the Grenadines",12.3,"Central America and the Caribbean"
"Mexico",12.1,"North America"
"Northern Mariana Islands",11.9,"Australia and Oceania"
"Tonga",11.8,"Australia and Oceania"
"El Salvador",11.7,"Central America and the Caribbean"
"Saudi Arabia",11.7,"Middle East"
"Colombia",11.7,"South America"
"Armenia",11.6,"Central Asia"
"Mauritius",11.6,"Africa"
"Aruba",11.5,"Central America and the Caribbean"
"Saint Lucia",11.5,"Central America and the Caribbean"
"Tunisia",11.3,"Africa"
"Belize",11.3,"Central America and the Caribbean"
"Ecuador",11.2,"South America"
"Turks and Caicos Islands",11.1,"Central America and the Caribbean"
"Azerbaijan",10.9,"Central Asia"
"Guam",10.9,"Australia and Oceania"
"Peru",10.8,"South America"
"Palau",10.8,"Australia and Oceania"
"Dominica",10.7,"Central America and the Caribbean"
"Libya",10.7,"Africa"
"Jamaica",10.7,"Central America and the Caribbean"
"Albania",10.3,"Europe"
"Seychelles",10.2,"Africa"
"Brunei",10,"East and Southeast Asia"
"Fiji",9.7,"Australia and Oceania"
"Montserrat",9.7,"Central America and the Caribbean"
"Bahrain",9.7,"Middle East"
"American Samoa",9.7,"Australia and Oceania"
"Barbados",9.6,"Central America and the Caribbean"
"Bahamas, The",9.4,"Central America and the Caribbean"
"Grenada",9,"Central America and the Caribbean"
"Argentina",9,"South America"
"Ukraine",8.7,"Europe"
"Greenland",8.5,"North America"
"Croatia",8.4,"Europe"
"Cyprus",8.1,"Europe"
"Uruguay",8,"South America"
"Kazakhstan",8,"Central Asia"
"Saint Kitts and Nevis",8,"Central America and the Caribbean"
"Saint Pierre and Miquelon",7.8,"North America"
"Bulgaria",7.7,"Europe"
"Sint Maarten",7.6,"Central America and the Caribbean"
"Nauru",7.6,"Australia and Oceania"
"Curacao",7.5,"Central America and the Caribbean"
"Virgin Islands",7.3,"Central America and the Caribbean"
"Cayman Islands",7.3,"Central America and the Caribbean"
"Kuwait",7.2,"Middle East"
"North Macedonia",7,"Europe"
"Sri Lanka",6.8,"South Asia"
"Costa Rica",6.7,"Central America and the Caribbean"
"Lebanon",6.7,"Middle East"
"Saint Martin",6.5,"Central America and the Caribbean"
"Saint Barthelemy",6.5,"Central America and the Caribbean"
"Russia",6.5,"Central Asia"
"Qatar",6.4,"Middle East"
"Malaysia",6.4,"East and Southeast Asia"
"Thailand",6.3,"East and Southeast Asia"
"Chile",6.3,"South America"
"China",6.2,"East and Southeast Asia"
"San Marino",6.2,"Europe"
"Gibraltar",6,"Europe"
"Puerto Rico",5.8,"Central America and the Caribbean"
"Faroe Islands",5.7,"Europe"
"Romania",5.5,"Europe"
"United States",5.1,"North America"
"Slovakia",5.1,"Europe"
"United Arab Emirates",5,"Middle East"
"Bosnia and Herzegovina",5,"Europe"
"Poland",4.9,"Europe"
"New Caledonia",4.8,"Australia and Oceania"
"Latvia",4.7,"Europe"
"Hungary",4.7,"Europe"
"Serbia",4.5,"Europe"
"Malta",4.4,"Europe"
"Macau",4.4,"East and Southeast Asia"
"French Polynesia",4.3,"Australia and Oceania"
"Canada",4.3,"North America"
"Isle of Man",4.1,"Europe"
"Cuba",4,"Central America and the Caribbean"
"Wallis and Futuna",3.9,"Australia and Oceania"
"Liechtenstein",3.9,"Europe"
"United Kingdom",3.8,"Europe"
"Taiwan",3.8,"East and Southeast Asia"
"Jersey",3.7,"Europe"
"Lithuania",3.6,"Europe"
"Netherlands",3.6,"Europe"
"Greece",3.4,"Europe"
"Estonia",3.3,"Europe"
"Guernsey",3.3,"Europe"
"Ireland",3.3,"Europe"
"New Zealand",3.3,"Australia and Oceania"
"Andorra",3.3,"Europe"
"Austria",3.2,"Europe"
"Montenegro",3.2,"Europe"
"Luxembourg",3.2,"Europe"
"France",3.1,"Europe"
"Belgium",3.1,"Europe"
"Germany",3.1,"Europe"
"Italy",3.1,"Europe"
"Anguilla",3,"Central America and the Caribbean"
"Switzerland",3,"Europe"
"Denmark",3,"Europe"
"Australia",2.9,"Australia and Oceania"
"Korea, South",2.8,"East and Southeast Asia"
"Israel",2.8,"Middle East"
"Czechia",2.6,"Europe"
"Hong Kong",2.5,"East and Southeast Asia"
"Portugal",2.4,"Europe"
"Spain",2.4,"Europe"
"Sweden",2.3,"Europe"
"Belarus",2.1,"Europe"
"Bermuda",2.1,"North America"
"Finland",2.1,"Europe"
"Japan",1.9,"East and Southeast Asia"
"Norway",1.8,"Europe"
"Monaco",1.7,"Europe"
"Iceland",1.6,"Europe"
"Singapore",1.5,"East and Southeast Asia"
"Slovenia",1.5,"Europe"
